Filename,Text,Fetched from,Timestamp,Obvious emotion,Intensity,Offensive,Level of offensive,Beeped
1_00131,"you are idiots, you can get an education. But you want to be litle punk as nigga who's gonna get shot",https://www.youtube.com/watch?v=gezbLzXqbMA,0:32 - 0:41,angry,high,yes,5,no
1_00132,"There were some night I went deliberately into black areas in the city, looking to be said upon so that i could unleash pfysical violence unleash physical violence",https://www.youtube.com/watch?v=Wl6_4oOppaY,1:57 - 2:13,neutral,low,yes,4,no
1_00133,Some rough girls from rutgers man. They got tattoos and some hot girl hoes. That's some nappy headed hoes there.,https://www.youtube.com/watch?v=kMvfEdTUO6Q,0:13 - 0:20,happy,low,yes,4,no
1_00134,Then why didn't you stay in mexico,https://www.youtube.com/watch?v=I4mehbqRBlc,0:57 - 0:59,neutral,low,yes,3,no
1_00135,"Muslims killed us on nine eleven. No, oh my god. Muslims didn't kill us on nine one one, is that what you are saying.",https://www.youtube.com/watch?v=mY0YuXE65Gs,2:22 - 2:32,angry,high,yes,4,no
1_00136,"If you wanna talk to me, you bring your manager here, you idiot. Or go speak chinese with your other staff and your shit talking somewhere else.",https://www.youtube.com/watch?v=hmyrBMCb7jw,0:59 - 1:06,angry,high,yes,4,no
1_00137,Now you are just bragging nigga bitch. Oh nigga bitch monkey women,https://www.youtube.com/watch?v=czC6YZajaQg,6:28 - 6:33,humour,high,yes,5,no
1_00138,"i am sitting in this cute little salon. My girl doesn't speak a lick of english, but besides that it's great. Can you imagine working on other people's feet your whole life, i mean it doesn't seem like she is trying to learn english or anything",https://www.youtube.com/watch?v=vK1CJBTyef8,1:21 - 1:34,neutral,low,yes,3,no
1_00139,"i am trying to talk to her and she is not speaking english. I mean it is our country, they come in here and",https://www.youtube.com/watch?v=vK1CJBTyef8,3:00 - 3:05,neutral,low,yes,3,no
1_00140,"they are so good with their hands. I don't know what it is, but asians are so good at giving massages.",https://www.youtube.com/watch?v=vK1CJBTyef8,4:18 - 4:23,neutral,low,yes,2,no
1_00141,"I am talking fresh of the bow, she is probably a bad driver too, but she is great at massage and probably great at math too",https://www.youtube.com/watch?v=vK1CJBTyef8,5:50 - 6:00,neutral,low,yes,3,no
1_00142,people worry when they see muslims,https://www.youtube.com/watch?v=GK6A-2PwfMI,3:53 - 3:55,neutral,low,yes,3,no
1_00143,"say what, you with a white girl? Yea, that's my girlfriend. You couldn't find a strong balck women for you",https://www.youtube.com/watch?v=V1SVjd6pL0I,0:39 - 0:45,neutral,low,yes,3,no
1_00144,"look i don't think you can like both. Why not? You can just say you are gay, you don't have to hide behind bisexuality",https://www.youtube.com/watch?v=M6pG7BZhRS0,1:47 - 1:55,neutral,low,yes,3,no
1_00145,"Bisexuality is not a real thing, you know that. Get your life straight. Get your life straight dude",https://www.youtube.com/watch?v=M6pG7BZhRS0,2:02 - 2:08,neutral,low,yes,3,no
1_00146,"I just don't think bisexuality itself is real. Like I said, I don't either",https://www.youtube.com/watch?v=M6pG7BZhRS0,7:55 - 8:02,neutral,low,yes,3,no
1_00147,"I just think when you come out, you should come out all the way. I just feel like bisexuality is just a stepping stone",https://www.youtube.com/watch?v=M6pG7BZhRS0,12:39 - 12:46,neutral,low,yes,3,no
1_00148,"It's bad enough that you are lesbains, but that they don't have a father, I think that's kind of bad. You dont feel uncomfortable, with people watching you",https://www.youtube.com/watch?v=Zhl9MLno424,0:32 - 0:39,disgust,low,yes,3,no
1_00149,Go back to mexico if you want to keep speaking Spanish. Go back to your mexican country,https://www.youtube.com/watch?v=Cr_-xnWnEbk,0:10 - 0:15,angry,med,yes,4,no
1_00150,"I mean you are parents to these litle kids. She is gonna turn out gay just like you, because you have no dad in this family",https://www.youtube.com/watch?v=Zhl9MLno424,3:27 - 3:32,disgust,low,yes,3,no
1_00151,"with the stuff that's happening today, we can't be friends with a muslim man. Honestly yeah, it's just it's too dangerous",https://www.youtube.com/watch?v=6i_8ZWBE-5U,1:16 - 1:22,neutral,low,yes,3,no
1_00152,"Listen dude, I post pictures on instagram and people comment things, like why are you friends with a terrorist",https://www.youtube.com/watch?v=6i_8ZWBE-5U,1:34 - 1:40,neutral,low,yes,4,no
1_00153,"If there are any muslim fundamentals in this room, alright. You see this microphone , I am calling it mohammed right and it's fucking gay.",https://www.youtube.com/watch?v=ZZb_POyXd1Q,1:41 - 1:50,humour,high,yes,5,no
1_00154,"But its not just the hat, its what it represents. Its just a hat. yea, it is muslims, dangerous.",https://www.youtube.com/watch?v=6i_8ZWBE-5U,6:12 - 6:18,neutral,low,yes,4,no
1_00155,"we don't sell clothings for muslims here. But I am not even a muslim, I am a sikh. It's the same thing, we don't sell like turbans here. This is an american clothing store",https://www.youtube.com/watch?v=AKjci2LVBN8,0:32 - 0:42,neutral,low,yes,3,no
1_00156,"so whether you are muslim, islamic, sikh, whatever you think you are. We don't have clothes that are gonna match your terrorist hat.",https://www.youtube.com/watch?v=AKjci2LVBN8,0:58 - 1:05,neutral,low,yes,4,no
1_00157,"I can't sell to muslims, that's my personal policy. But I am not a muslim, I am a sikh. I don't care its all the same, turbans a turban, you know",https://www.youtube.com/watch?v=AKjci2LVBN8,1:36 - 1:44,neutral,low,yes,3,no
1_00158,"We don't have a muslim attire here. I am not a muslim, I am a sikh. Go shop in pakistan or afganistan.",https://www.youtube.com/watch?v=AKjci2LVBN8,4:30 - 4:40,neutral,low,yes,4,no
1_00159,"Look at him, the beard and turban, it's just the image it conjures. You kidding me.",https://www.youtube.com/watch?v=AKjci2LVBN8,6:07 - 6:10,neutral,low,yes,4,no
1_00160,"I mean, nine times out ten, if somebody steals something, they are black, ok. That's pretty much how it goes.",https://www.youtube.com/watch?v=qWIph_xlTbY,2:48 - 2:54,neutral,low,yes,4,no
